index,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
0,10325,Vecchio Birraio,1234817823,1.5,2.0,2.5,stcules,Hefeweizen,1.5,1.5,Sausa Weizen,5.0,47986
1,10325,Vecchio Birraio,1235915097,3.0,2.5,3.0,stcules,English Strong Ale,3.0,3.0,Red Moon,6.2,48213
2,10325,Vecchio Birraio,1235916604,3.0,2.5,3.0,stcules,Foreign / Export Stout,3.0,3.0,Black Horse Black Beer,6.5,48215
3,10325,Vecchio Birraio,1234725145,3.0,3.0,3.5,stcules,German Pilsener,2.5,3.0,Sausa Pils,5.0,47969
4,1075,Caldera Brewing Company,1293735206,4.0,4.5,4.0,johnmichaelsen,American Double / Imperial IPA,4.0,4.5,Cauldron DIPA,7.7,64883
5,1075,Caldera Brewing Company,1325524659,3.0,3.5,3.5,oline73,Herbed / Spiced Beer,3.0,3.5,Caldera Ginger Beer,4.7,52159
6,1075,Caldera Brewing Company,1318991115,3.5,3.5,3.5,Reidrover,Herbed / Spiced Beer,4.0,4.0,Caldera Ginger Beer,4.7,52159
7,1075,Caldera Brewing Company,1306276018,3.0,2.5,3.5,alpinebryant,Herbed / Spiced Beer,2.0,3.5,Caldera Ginger Beer,4.7,52159
8,1075,Caldera Brewing Company,1290454503,4.0,3.0,3.5,LordAdmNelson,Herbed / Spiced Beer,3.5,4.0,Caldera Ginger Beer,4.7,52159
9,1075,Caldera Brewing Company,1285632924,4.5,3.5,5.0,augustgarage,Herbed / Spiced Beer,4.0,4.0,Caldera Ginger Beer,4.7,52159
10,163,Amstel Brouwerij B. V.,1010963392,3.0,2.0,3.0,fodeeoz,Light Lager,2.5,2.5,Amstel Light,3.5,436
11,1075,Caldera Brewing Company,1283154365,5.0,5.0,4.0,MadeInOregon,Herbed / Spiced Beer,4.0,4.0,Caldera Ginger Beer,4.7,52159
12,1075,Caldera Brewing Company,1277557990,4.0,4.0,4.0,rawthar,Herbed / Spiced Beer,3.5,4.0,Caldera Ginger Beer,4.7,52159
13,1075,Caldera Brewing Company,1275779250,4.0,4.5,3.0,Halcyondays,Herbed / Spiced Beer,2.5,3.0,Caldera Ginger Beer,4.7,52159
14,1075,Caldera Brewing Company,1273109020,3.5,4.0,3.0,RangerClegg,Herbed / Spiced Beer,3.0,4.0,Caldera Ginger Beer,4.7,52159
15,1075,Caldera Brewing Company,1316025612,3.0,3.0,2.5,Beerandraiderfan,Oatmeal Stout,3.0,3.0,Caldera Oatmeal Stout,7.2,10789
16,1075,Caldera Brewing Company,1103502339,2.0,1.5,2.5,RedDiamond,Oatmeal Stout,2.5,2.0,Caldera Oatmeal Stout,7.2,10789
17,1075,Caldera Brewing Company,1062311123,4.0,3.0,4.0,beerguy101,American Pale Lager,4.0,4.0,Caldera OBF 15,5.6,12386
18,163,Amstel Brouwerij B. V.,1010861086,2.5,3.0,3.0,jdhilt,Light Lager,2.0,2.0,Amstel Light,3.5,436
19,1075,Caldera Brewing Company,1325478004,4.5,4.5,3.0,UCLABrewN84,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
20,1075,Caldera Brewing Company,1325360812,4.0,4.0,4.0,zaphodchak,Rauchbier,3.0,4.0,Rauch Ür Bock,7.4,58046
21,1075,Caldera Brewing Company,1322506304,4.0,4.5,4.0,Tilley4,Rauchbier,3.5,4.0,Rauch Ür Bock,7.4,58046
22,1075,Caldera Brewing Company,1320494397,4.5,5.0,4.5,mikedrinksbeer2,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
23,1075,Caldera Brewing Company,1320140421,4.0,4.5,4.0,dbmernin83,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
24,1075,Caldera Brewing Company,1319847514,4.5,4.5,4.0,titosupertramp,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
25,1075,Caldera Brewing Company,1318802642,5.0,5.0,3.5,optimator13,Rauchbier,3.5,5.0,Rauch Ür Bock,7.4,58046
26,1075,Caldera Brewing Company,1318290101,4.5,4.5,4.0,Blakaeris,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
27,1075,Caldera Brewing Company,1318289482,4.5,5.0,4.0,bashiba,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
28,1075,Caldera Brewing Company,1316405909,4.5,4.5,3.5,Klym,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
29,1075,Caldera Brewing Company,1315696563,4.5,4.5,4.0,flexabull,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
30,163,Amstel Brouwerij B. V.,1002109880,3.0,2.0,2.0,xXTequila,Light Lager,2.0,3.0,Amstel Light,3.5,436
31,1075,Caldera Brewing Company,1315014054,5.0,4.5,4.0,Bung,Rauchbier,4.0,5.0,Rauch Ür Bock,7.4,58046
32,1075,Caldera Brewing Company,1314752229,4.0,4.0,4.5,oberon,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
33,1075,Caldera Brewing Company,1312403394,4.5,4.5,4.0,t420o,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
34,1075,Caldera Brewing Company,1312162337,4.0,4.0,4.0,DarthKostrizer,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
35,1075,Caldera Brewing Company,1312070406,4.0,4.0,3.0,MrVonzipper,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
36,1075,Caldera Brewing Company,1311558510,3.0,4.5,3.0,Beerandraiderfan,Rauchbier,2.0,3.0,Rauch Ür Bock,7.4,58046
37,1075,Caldera Brewing Company,1309310508,4.0,4.5,4.5,TheWhiskerReview,Rauchbier,4.0,3.5,Rauch Ür Bock,7.4,58046
38,1075,Caldera Brewing Company,1307850875,3.5,3.5,4.5,Elimination,Rauchbier,4.0,3.5,Rauch Ür Bock,7.4,58046
39,1075,Caldera Brewing Company,1283136243,4.5,5.0,3.5,Jason,Rauchbier,4.5,4.5,Rauch Ür Bock,7.4,58046
40,163,Amstel Brouwerij B. V.,988202869,3.0,3.0,3.0,Brent,Light Lager,2.0,2.0,Amstel Light,3.5,436
41,1075,Caldera Brewing Company,1306128988,4.5,4.0,4.0,DoubleJ,Rauchbier,4.5,4.5,Rauch Ür Bock,7.4,58046
42,1075,Caldera Brewing Company,1305926255,5.0,4.5,3.5,Deuane,Rauchbier,4.0,5.0,Rauch Ür Bock,7.4,58046
43,1075,Caldera Brewing Company,1305856857,4.0,4.0,4.0,Mattybeerguy,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
44,1075,Caldera Brewing Company,1305469906,4.0,4.0,3.5,micromaniac129,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
45,1075,Caldera Brewing Company,1305329412,3.5,5.0,3.5,beagle75,Rauchbier,3.5,4.0,Rauch Ür Bock,7.4,58046
46,1075,Caldera Brewing Company,1302401846,4.0,4.0,3.5,northyorksammy,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
47,1075,Caldera Brewing Company,1301454480,4.5,4.0,4.0,vette2006c5r,Rauchbier,4.5,4.0,Rauch Ür Bock,7.4,58046
48,1075,Caldera Brewing Company,1301023832,4.0,3.5,4.0,EvanEngelstad,Rauchbier,3.0,3.5,Rauch Ür Bock,7.4,58046
49,1075,Caldera Brewing Company,1300936020,4.5,4.0,4.0,djeucalyptus,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
50,1075,Caldera Brewing Company,1300237348,4.0,4.0,3.5,ccrida,Rauchbier,4.5,4.0,Rauch Ür Bock,7.4,58046
51,1075,Caldera Brewing Company,1297290394,3.5,3.5,4.0,cooch69,Rauchbier,3.5,3.5,Rauch Ür Bock,7.4,58046
52,1075,Caldera Brewing Company,1291959798,3.5,4.0,4.0,DogFood11,Rauchbier,3.5,3.5,Rauch Ür Bock,7.4,58046
53,1075,Caldera Brewing Company,1291254447,4.0,4.5,4.0,brewandbbq,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
54,1075,Caldera Brewing Company,1286839186,3.5,3.5,4.0,Fatehunter,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
55,1075,Caldera Brewing Company,1286679032,4.5,4.5,3.0,hopsbreath,Rauchbier,4.5,4.5,Rauch Ür Bock,7.4,58046
56,1075,Caldera Brewing Company,1285545349,4.5,4.5,3.5,augustgarage,Rauchbier,4.0,5.0,Rauch Ür Bock,7.4,58046
57,1075,Caldera Brewing Company,1284135689,4.5,4.5,4.0,Slatetank,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
58,1075,Caldera Brewing Company,1281495119,4.0,4.0,4.0,Proteus93,Rauchbier,4.0,4.0,Rauch Ür Bock,7.4,58046
59,1075,Caldera Brewing Company,1281303716,4.0,4.5,4.0,SShelly,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
